  R1          CASS(6,4)
  0.5000    -12.69319
  0.5400    -13.06925
  0.5800    -13.36351
  0.6200    -13.59468
  0.6600    -13.77694
  0.7000    -13.92115
  0.7400    -14.03567
  0.7800    -14.12698
  0.8200    -14.20013
  0.8600    -14.25903
  0.9000    -14.30675
  0.9400    -14.34568
  0.9800    -14.37774
  1.0200    -14.40441
  1.0600    -14.42685
  1.1000    -14.44600
  1.1400    -14.46257
  1.1800    -14.47713
  1.2200    -14.49011
  1.2600    -14.50186
  1.3000    -14.51262
  1.3400    -14.52261
  1.3800    -14.53197
  1.4200    -14.54080
  1.4600    -14.54917
  1.5000    -14.55713
  1.5400    -14.56472
  1.5800    -14.57194
  1.6200    -14.57880
  1.6600    -14.58531
  1.7000    -14.59146
  1.7400    -14.59726
  1.7800    -14.60269
  1.8200    -14.60777
  1.8600    -14.61250
  1.9000    -14.61688
  1.9400    -14.62092
  1.9800    -14.62462
  2.0200    -14.62801
  2.0600    -14.63108
  2.1000    -14.63385
  2.1400    -14.63634
  2.1800    -14.63856
  2.2200    -14.64051
  2.2600    -14.64222
  2.3000    -14.64370
  2.3400    -14.64496
  2.3800    -14.64600
  2.4200    -14.64686
  2.4600    -14.64753
  2.5000    -14.64802
  2.5400    -14.64836
  2.5800    -14.64855
  2.6200    -14.64859
  2.6600    -14.64850
  2.7000    -14.64829
  2.7400    -14.64796
  2.7800    -14.64753
  2.8200    -14.64700
  2.8600    -14.64637
  2.9000    -14.64567
  2.9400    -14.64488
  2.9800    -14.64401
  3.0200    -14.64308
  3.0600    -14.64209
  3.1000    -14.64104
  3.1400    -14.63994
  3.1800    -14.63879
  3.2200    -14.63759
  3.2600    -14.63635
  3.3000    -14.63508
  3.3400    -14.63377
  3.3800    -14.63243
  3.4200    -14.63107
  3.4600    -14.62968
  3.5000    -14.62827
  3.5400    -14.62684
  3.5800    -14.62539
  3.6200    -14.62393
  3.6600    -14.62246
  3.7000    -14.62098
  3.7400    -14.61948
  3.7800    -14.61799
  3.8200    -14.61648
  3.8600    -14.61498
  3.9000    -14.61347
  3.9400    -14.61196
  3.9800    -14.61046
  4.0200    -14.60895
  4.0600    -14.60745
  4.1000    -14.60596
  4.1400    -14.60447
  4.1800    -14.60299
  4.2200    -14.60151
  4.2600    -14.60005
  4.3000    -14.59859
  4.3400    -14.59714
  4.3800    -14.59571
  4.4200    -14.59428
  4.4600    -14.59287
