 R1          SCF          MP2          CIS        CIS-MP2  
 0.5000    -12.66896    -12.68916    -12.54976    -12.55651
 0.5400    -13.04449    -13.06491    -12.93249    -12.93962
 0.5800    -13.33821    -13.35885    -13.23275    -13.24024
 0.6200    -13.56885    -13.58970    -13.46931    -13.47712
 0.6600    -13.75057    -13.77164    -13.65634    -13.66447
 0.7000    -13.89423    -13.91552    -13.80475    -13.81315
 0.7400    -14.00821    -14.02971    -13.92290    -13.93157
 0.7800    -14.09900    -14.12071    -14.01733    -14.02624
 0.8200    -14.17162    -14.19354    -14.09307    -14.10221
 0.8600    -14.23001    -14.25213    -14.15406    -14.16342
 0.9000    -14.27724    -14.29955    -14.20339    -14.21294
 0.9400    -14.31574    -14.33822    -14.24349    -14.25320
 0.9800    -14.34741    -14.37003    -14.27626    -14.28612
 1.0200    -14.37375    -14.39650    -14.30322    -14.31319
 1.0600    -14.39596    -14.41880    -14.32557    -14.33562
 1.1000    -14.41496    -14.43786    -14.34425    -14.35435
 1.1400    -14.43150    -14.45441    -14.36003    -14.37014
 1.1800    -14.44614    -14.46902    -14.37351    -14.38359
 1.2200    -14.45933    -14.48214    -14.38517    -14.39518
 1.2600    -14.47140    -14.49409    -14.39539    -14.40531
 1.3000    -14.48262    -14.50515    -14.40448    -14.41428
 1.3400    -14.49316    -14.51549    -14.41269    -14.42235
 1.3800    -14.50317    -14.52527    -14.42020    -14.42972
 1.4200    -14.51273    -14.53457    -14.42716    -14.43653
 1.4600    -14.52189    -14.54346    -14.43367    -14.44290
 1.5000    -14.53070    -14.55197    -14.43981    -14.44892
 1.5400    -14.53915    -14.56011    -14.44562    -14.45462
 1.5800    -14.54725    -14.56790    -14.45113    -14.46005
 1.6200    -14.55500    -14.57533    -14.45638    -14.46523
 1.6600    -14.56238    -14.58240    -14.46135    -14.47017
 1.7000    -14.56939    -14.58909    -14.46607    -14.47487
 1.7400    -14.57601    -14.59541    -14.47052    -14.47934
 1.7800    -14.58225    -14.60136    -14.47471    -14.48357
 1.8200    -14.58810    -14.60692    -14.47865    -14.48756
 1.8600    -14.59357    -14.61211    -14.48232    -14.49131
 1.9000    -14.59865    -14.61693    -14.48574    -14.49483
 1.9400    -14.60336    -14.62139    -14.48890    -14.49811
 1.9800    -14.60771    -14.62550    -14.49182    -14.50116
 2.0200    -14.61170    -14.62927    -14.49449    -14.50399
 2.0600    -14.61535    -14.63271    -14.49901    -14.52867
 2.1000    -14.61867    -14.63584    -14.50338    -14.53325
 2.1400    -14.62168    -14.63867    -14.50742    -14.53748
 2.1800    -14.62438    -14.64121    -14.51112    -14.54138
 2.2200    -14.62681    -14.64349    -14.51451    -14.54497
 2.2600    -14.62897    -14.64550    -14.51759    -14.54825
 2.3000    -14.63087    -14.64728    -14.52040    -14.55125
 2.3400    -14.63253    -14.64883    -14.52294    -14.55399
 2.3800    -14.63396    -14.65017    -14.52522    -14.55647
 2.4200    -14.63518    -14.65131    -14.52726    -14.55872
 2.4600    -14.63620    -14.65226    -14.52908    -14.56074
 2.5000    -14.63703    -14.65303    -14.53069    -14.56256
 2.5400    -14.63768    -14.65364    -14.53210    -14.56417
 2.5800    -14.63817    -14.65409    -14.53332    -14.56560
 2.6200    -14.63850    -14.65441    -14.53437    -14.56686
 2.6600    -14.63869    -14.65459    -14.53524    -14.56795
 2.7000    -14.63875    -14.65464    -14.53597    -14.56889
 2.7400    -14.63867    -14.65459    -14.53654    -14.56968
 2.7800    -14.63848    -14.65442    -14.53698    -14.57034
 2.8200    -14.63818    -14.65416    -14.53729    -14.57087
 2.8600    -14.63778    -14.65381    -14.53747    -14.57128
 2.9000    -14.63728    -14.65337    -14.53754    -14.57157
 2.9400    -14.63669    -14.65286    -14.53751    -14.57176
 2.9800    -14.63602    -14.65228    -14.53736    -14.57184
 3.0200    -14.63528    -14.65163    -14.53713    -14.57183
 3.0600    -14.63446    -14.65092    -14.53680    -14.57173
 3.1000    -14.63358    -14.65016    -14.53639    -14.57154
 3.1400    -14.63264    -14.64935    -14.53589    -14.57128
 3.1800    -14.63164    -14.64849    -14.53532    -14.57094
 3.2200    -14.63059    -14.64760    -14.53468    -14.57052
 3.2600    -14.62949    -14.64667    -14.53397    -14.57004
 3.3000    -14.62835    -14.64570    -14.53320    -14.56950
 3.3400    -14.62717    -14.64471    -14.53237    -14.56890
 3.3800    -14.62596    -14.64370    -14.53148    -14.56824
 3.4200    -14.62471    -14.64266    -14.53053    -14.56752
 3.4600    -14.62343    -14.64161    -14.52954    -14.56676
 3.5000    -14.62212    -14.64054    -14.52850    -14.56595
 3.5400    -14.62079    -14.63945    -14.52742    -14.56509
 3.5800    -14.61944    -14.63836    -14.52630    -14.56420
 3.6200    -14.61806    -14.63726    -14.52514    -14.56326
 3.6600    -14.61668    -14.63615    -14.52394    -14.56229
 3.7000    -14.61527    -14.63505    -14.52271    -14.56129
 3.7400    -14.61386    -14.63394    -14.52146    -14.56025
 3.7800    -14.61243    -14.63283    -14.52017    -14.55918
 3.8200    -14.61100    -14.63173    -14.51886    -14.55809
 3.8600    -14.60956    -14.63063    -14.51752    -14.55697
 3.9000    -14.60811    -14.62953    -14.51616    -14.55582
 3.9400    -14.60666    -14.62845    -14.51479    -14.55466
 3.9800    -14.60521    -14.62738    -14.51339    -14.55348
 4.0200    -14.60375    -14.62631    -14.51199    -14.55227
 4.0600    -14.60230    -14.62526    -14.51056    -14.55105
 4.1000    -14.60085    -14.62422    -14.50913    -14.54982
 4.1400    -14.59940    -14.62320    -14.50768    -14.54857
 4.1800    -14.59796    -14.62219    -14.50623    -14.54731
 4.2200    -14.59652    -14.62120    -14.50476    -14.54604
 4.2600    -14.59509    -14.62023    -14.50329    -14.54476
 4.3000    -14.59366    -14.61928    -14.50182    -14.54347
 4.3400    -14.59224    -14.61834    -14.50034    -14.54217
 4.3800    -14.59084    -14.61743    -14.49886    -14.54087
 4.4200    -14.58944    -14.61654    -14.49738    -14.53956
 4.4600    -14.58805    -14.61567    -14.49590    -14.53825
