R (ang)	    E (hartree)
  0.5000    -12.66896
  0.5200    -12.86834
  0.5400    -13.04449
  0.5600    -13.20028
  0.5800    -13.33821
  0.6000    -13.46044
  0.6200    -13.56885
  0.6400    -13.66508
  0.6600    -13.75057
  0.6800    -13.82658
  0.7000    -13.89423
  0.7200    -13.95449
  0.7400    -14.00821
  0.7600    -14.05616
  0.7800    -14.09900
  0.8000    -14.13731
  0.8200    -14.17162
  0.8400    -14.20238
  0.8600    -14.23001
  0.8800    -14.25486
  0.9000    -14.27724
  0.9200    -14.29746
  0.9400    -14.31574
  0.9600    -14.33233
  0.9800    -14.34741
  1.0000    -14.36116
  1.0200    -14.37375
  1.0400    -14.38531
  1.0600    -14.39596
  1.0800    -14.40581
  1.1000    -14.41496
  1.1200    -14.42350
  1.1400    -14.43150
  1.1600    -14.43903
  1.1800    -14.44614
  1.2000    -14.45289
  1.2200    -14.45933
  1.2400    -14.46549
  1.2600    -14.47140
  1.2800    -14.47710
  1.3000    -14.48262
  1.3200    -14.48796
  1.3400    -14.49316
  1.3600    -14.49822
  1.3800    -14.50317
  1.4000    -14.50800
  1.4200    -14.51273
  1.4400    -14.51736
  1.4600    -14.52189
  1.4800    -14.52634
  1.5000    -14.53070
  1.5200    -14.53497
  1.5400    -14.53915
  1.5600    -14.54325
  1.5800    -14.54725
  1.6000    -14.55117
  1.6200    -14.55500
  1.6400    -14.55874
  1.6600    -14.56238
  1.6800    -14.56593
  1.7000    -14.56939
  1.7200    -14.57275
  1.7400    -14.57601
  1.7600    -14.57918
  1.7800    -14.58225
  1.8000    -14.58523
  1.8200    -14.58810
  1.8400    -14.59088
  1.8600    -14.59357
  1.8800    -14.59616
  1.9000    -14.59865
  1.9200    -14.60105
  1.9400    -14.60336
  1.9600    -14.60558
  1.9800    -14.60771
  2.0000    -14.60974
  2.0200    -14.61170
  2.0400    -14.61356
  2.0600    -14.61535
  2.0800    -14.61705
  2.1000    -14.61867
  2.1200    -14.62021
  2.1400    -14.62168
  2.1600    -14.62307
  2.1800    -14.62438
  2.2000    -14.62563
  2.2200    -14.62681
  2.2400    -14.62792
  2.2600    -14.62897
  2.2800    -14.62995
  2.3000    -14.63087
  2.3200    -14.63173
  2.3400    -14.63253
  2.3600    -14.63327
  2.3800    -14.63396
  2.4000    -14.63460
  2.4200    -14.63518
  2.4400    -14.63571
  2.4600    -14.63620
  2.4800    -14.63664
  2.5000    -14.63703
  2.5200    -14.63738
  2.5400    -14.63768
  2.5600    -14.63795
  2.5800    -14.63817
  2.6000    -14.63836
  2.6200    -14.63850
  2.6400    -14.63862
  2.6600    -14.63869
  2.6800    -14.63874
  2.7000    -14.63875
  2.7200    -14.63873
  2.7400    -14.63867
  2.7600    -14.63859
  2.7800    -14.63848
  2.8000    -14.63835
  2.8200    -14.63818
  2.8400    -14.63799
  2.8600    -14.63778
  2.8800    -14.63754
  2.9000    -14.63728
  2.9200    -14.63700
  2.9400    -14.63669
  2.9600    -14.63637
  2.9800    -14.63602
  3.0000    -14.63566
  3.0200    -14.63528
  3.0400    -14.63488
  3.0600    -14.63446
  3.0800    -14.63403
  3.1000    -14.63358
  3.1200    -14.63312
  3.1400    -14.63264
  3.1600    -14.63215
  3.1800    -14.63164
  3.2000    -14.63112
  3.2200    -14.63059
  3.2400    -14.63005
  3.2600    -14.62949
  3.2800    -14.62893
  3.3000    -14.62835
  3.3200    -14.62777
  3.3400    -14.62717
  3.3600    -14.62657
  3.3800    -14.62596
  3.4000    -14.62533
  3.4200    -14.62471
  3.4400    -14.62407
  3.4600    -14.62343
  3.4800    -14.62278
  3.5000    -14.62212
  3.5200    -14.62146
  3.5400    -14.62079
  3.5600    -14.62011
  3.5800    -14.61944
  3.6000    -14.61875
  3.6200    -14.61806
  3.6400    -14.61737
  3.6600    -14.61668
  3.6800    -14.61598
  3.7000    -14.61527
  3.7200    -14.61457
  3.7400    -14.61386
  3.7600    -14.61315
  3.7800    -14.61243
  3.8000    -14.61171
  3.8200    -14.61100
  3.8400    -14.61028
  3.8600    -14.60956
  3.8800    -14.60883
  3.9000    -14.60811
  3.9200    -14.60738
  3.9400    -14.60666
  3.9600    -14.60593
  3.9800    -14.60521
  4.0000    -14.60448
  4.0200    -14.60375
  4.0400    -14.60303
  4.0600    -14.60230
  4.0800    -14.60157
  4.1000    -14.60085
  4.1200    -14.60012
  4.1400    -14.59940
  4.1600    -14.59868
  4.1800    -14.59796
  4.2000    -14.59724
  4.2200    -14.59652
  4.2400    -14.59580
  4.2600    -14.59509
  4.2800    -14.59437
  4.3000    -14.59366
  4.3200    -14.59295
  4.3400    -14.59224
  4.3600    -14.59154
  4.3800    -14.59084
  4.4000    -14.59013
  4.4200    -14.58944
  4.4400    -14.58874
  4.4600    -14.58805
  4.4800    -14.58736
  4.5000    -14.58667
